class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,118308,,2718,,0,0,0,0,3318,693270,3315248,4760666,2078968,356278,40368,364,4507416,0,0,0,274658,470178,8870634,7542290,3166032,1326690,0,0,0,0,0,0,0,0,0,0,0,0,405942,10777486,65052,0,10236,2156,3882,6264,791834,10434094,14,0,0,0,4736652,3541934,1074884,568366,369156,320876,232754,197098,108384,98376,12315056,900,1482,1136,472,4507416,207664,1510338,1649190,305160,290000,300060,345980,290020,316120,302980,325100,53580,118308.32,12315056,12315056,12387764,54367,78072,2322,189040,11248480,1209600,0,,,,8760151.68,491158.08,1977477.12,,,0,320634,1476906,4268148,3499250,1497494,161962,21402,2632,52,,0,12315056,,14172,4424,2654420,1608306,5825548,1138714,2896,0,0,0,,,,,,,,,,23666,2156,0,0,120060,563270,0,0,0,0,113220,55960,12536,52509524,6244714,611224,72690,31926600,3430704,11427544,203502,0,0,344760,,,2580934,2991698,2216600,1119758,1464932,175192,437472,260942,952,0,0,0
neg,60712,,154,152,0,0,0,0,0,0,2470,1419920,1936484,197952,12278,244,1658372,0,0,0,0,0,3288278,2953266,462068,268096,0,0,0,0,262,90,0,0,0,0,0,0,2025798,1222602,320948,0,3534,690,1372,53972,2002224,1506890,666,0,0,0,903170,1242792,366862,263442,208574,167464,207716,209308,20,0,3751010,54,330,752,2,1658372,34616,234844,225550,111900,123940,209180,,,,,,9140,60712.63,3751010,3751010,3752958,21697,3004,7502,114300,3569348,1209600,73244,0,62,0,3194139.84,0.0,371854.08,0,0,0,0,0,269748,1838628,1285982,153084,18334,3544,28,62,76,3751010,,6398,732,37344,205558,133786,2138648,1029816,16938,128,0,286,226,3105160,48494,0,54584,0,16,3215128,2456,666,0,0,0,0,0,0,0,0,19088,39564,9708,0,0,78232,12590,92780,13702,0,0,0,0,1516240,1833.36,1656,392940,460358,307420,195032,594430,763224,421936,174488,248988,10532,0,0
pos,96310,0,238,190,0,0,0,0,0,24806,927672,638298,360088,478300,444984,1021412,8813144,0,4734,0,333992,497906,16673748,12752712,5509018,4042194,72,0,5270110,1094074,1796,452,0,0,0,0,0,0,0,649176,3246384,0,29656,22998,25624,39306,116504,3427556,189298,44618,0,0,1636980,832156,309410,167400,122376,170718,283124,254832,76248,42316,22517582,902,1760,2732,170,8813144,365428,784782,4721440,331720,332500,301100,305720,306000,297860,342680,307240,166980,96310.5,22517582,22517582,22450882,23183,84,65628,728640,21611078,1209600,405408,982,384,0,6851576.64,12956328.0,1784481.6,212,978,0,1586,161530,545416,1256860,713996,274352,108836,303098,529886,436,524,22517582,0,3382,764,217832,1256820,458488,1781474,172396,4394,10,0,248,1008,6355810,631676,4492,6552,0,0,6664802,18218,404,0,0,0,0,0,0,423510,13240196,267310,7956,2138,0,0,353846,66070,62300,7184,0,0,0,0,13514540,,1440,2646836,345578,293534,180018,317324,57042,17110,38096,22,0,0,0
neg,57694,,0,0,0,0,0,0,0,0,322,275208,2880174,1343690,130442,5752,1902828,29570,0,0,0,0,3867354,3064172,1358938,729916,0,0,11268,0,0,0,0,0,0,0,0,73396,1592752,1359274,1610166,0,3926,1984,2522,301690,3369006,953930,2458,56,10,6,1742314,1130476,443306,341796,275204,216318,274432,211742,0,0,5226802,0,0,0,0,1902828,61056,747296,605674,183000,288400,614460,195740,,,,,69820,57693.16,5226802,5226802,5227306,27484,0,33744,380380,4635588,1209600,4,0,0,0,3717302.4,0.0,914509.44,0,0,0,0,0,24896,826104,2556860,1181714,41690,4240,84,0,0,5226802,,5768,568,2062,347086,518654,2721498,1022200,17652,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39914,0,0,0,0,0,0,0,0,0,0,0,0,0,1384.94,1480,951544,1053942,640794,316860,638190,489368,281280,140586,121116,1908,0,0
neg,126288,0,556,512,0,0,0,0,0,1424,874484,4222458,1595802,325008,28890,1700,3476332,0,0,0,5054,8808,6500666,5758990,1534546,557908,0,0,0,0,192,1214,0,0,0,0,0,0,361906,4896270,1791590,0,20200,45496,96796,95544,132924,603966,6051674,1906,1260,0,3236352,1397110,628980,399460,360788,247710,190590,168334,104338,316104,8042096,1008,996,20196,52,3476332,74736,833414,698484,220040,207700,208520,198420,184420,313620,,,186880,126288.47,8042096,8042096,7937856,37485,402,66386,764580,7054208,1209600,159788,6,78,0,5986079.04,0.0,1060662.72,1194,2564,0,56,37562,743812,2254498,2659506,1105836,225712,22358,426,438,584,8042096,0,10412,1654,509628,342078,301274,5259992,605240,19350,136,2,690,3056,6062976,2095812,0,27240,0,0,6073204,14082,222,0,0,0,0,0,0,0,0,39806,26502,6492,8998716,1442370,146136,41942,14680,2392,7033260,20422,0,0,6288480,3159.98,3438,1102670,579208,382096,230992,473790,403530,894822,2948028,34630,0,0,0
neg,52486,,198,16,0,0,0,0,0,0,834,485172,2072660,684248,19750,736,1365754,0,0,0,0,0,2901752,2515618,502112,309752,0,0,0,0,356,78,0,0,0,0,0,34178,2060400,1167672,1150,0,4020,1630,2476,62492,2385128,807638,16,0,0,0,1123778,761544,278426,230102,205054,193248,280976,190272,0,0,3404660,106,130,1172,16,1365754,33920,236038,264642,171560,200380,,,,,,,122800,52485.91,3404660,3404660,3396306,21211,4798,92510,976860,3263400,1209600,80200,0,6,0,2962823.04,0.0,296854.08,0,0,0,0,0,83334,1206962,1529670,403274,33428,6388,344,4,16,3404660,,6768,724,27284,149676,157018,2480000,428680,13228,22,0,34,24,216672,19424,0,2744,0,0,645984,2174,410,0,0,0,0,0,0,0,0,20762,63586,11024,0,0,127392,14980,6932680,784764,0,0,0,0,13521560,1423.42,1650,323904,530542,432348,234758,521690,532836,421016,228778,37132,396,0,0
neg,13356,6,154,132,0,0,0,0,0,0,85268,456176,31274,1096,0,0,403372,0,0,0,7754,12962,838340,718136,402914,103944,0,0,0,0,134,192,0,0,0,0,0,0,0,174476,399338,0,982,678,784,756,1678,568766,170,0,0,0,253728,94902,45260,30826,26866,26078,26026,20440,11790,37898,1249248,206,358,256,0,403372,12748,302638,99140,388260,,,,,,,,12140,13356.31,1249248,1249248,717320,2966,470,2394,36960,546400,1209600,38068,2,22,0,787323.84,17112.0,103438.08,102,266,0,0,12470,68104,210854,183034,58244,38562,2490,56,46,98,1249248,0,1250,158,41958,32082,30294,411030,53140,3902,0,0,182,442,593202,123578,0,104,0,0,793574,1248,248,0,0,90,17162,0,0,0,0,7136,9670,3874,2499820,343156,28882,5982,6854540,701668,1225504,5244,0,0,0,4.14,434,79374,103394,82026,43042,100390,99788,62394,3404,2,0,0,0
neg,366,,0,,0,0,0,0,0,0,52,6734,16676,0,0,0,9574,0,0,0,0,0,22378,19746,10186,1186,0,0,0,0,0,0,0,0,0,0,0,0,18696,4766,0,0,94,48,104,160,212,22316,528,0,0,0,12700,7860,2526,284,68,16,8,0,0,0,32594,0,4,16,0,9574,288,7344,2828,,,,,,,,,10040,365.66,32594,32594,39306,75,798,3160,32480,23462,1209600,0,,,,20660.16,0.0,2750.4,,,0,0,0,982,20872,1316,256,36,0,0,,0,32594,,56,10,670,1134,958,10276,9552,806,0,0,,,,,,,,,,50,32,0,0,0,0,0,0,0,0,186,20,2,0,0,584,108,73100,7882,0,0,0,0,0,,,3066,4168,1396,422,644,13758,8,0,0,0,0,0
neg,50862,,2130706432,210,0,0,0,0,0,0,136328,1958898,831042,87468,3796,38,1371080,0,0,0,328,660,2737074,2438354,407410,253734,0,0,0,0,360,130,0,0,0,0,0,0,1033908,247332,1736330,0,2812,948,988,26762,1304824,1669616,11620,0,0,0,878392,724718,299878,215492,160074,125898,161926,448350,2842,0,3145084,84,446,1688,38,1371080,28472,190668,214816,112460,164420,,,,,,,125920,50862.58,3145084,3145084,3123312,22388,13556,69058,721440,3017570,1209600,75114,2,86,0,2688478.08,0.0,326068.8,0,0,0,0,8542,726328,1654954,567034,54004,5856,852,0,110,116,3145084,,4502,372,78536,184090,91342,1753832,889396,15324,176,0,398,312,2376732,245844,0,39836,0,48,2717510,1974,430,0,0,0,0,0,0,0,0,16244,46618,21796,0,0,59816,11340,5417760,682584,0,0,0,0,11585980,889.92,942,351174,388636,297156,153666,373230,562466,581050,265504,44688,0,0,0
neg,22236,2,2130706432,1558,0,0,0,0,310,514680,2278150,693334,34672,616,0,0,325782,0,0,0,87152,171548,3162088,2878282,1102878,331866,2,0,0,0,480,330,0,0,0,0,0,60186,1092380,2308368,60828,0,1980,1054,1544,2490,4662,1688252,1451140,364918,5722,0,2601374,371962,175320,120698,81208,55286,43218,36008,26428,10260,4352402,20,28,134,2,325782,35538,718042,383870,302580,327480,287180,,,,,,182380,22236.81,4352402,4352402,4344284,8802,3854,70836,719960,3524802,1209600,132864,2,102,0,1946727.36,1175420.16,399065.28,212,668,0,53884,1502614,1388602,511002,46768,11690,5388,1628,186,0,86,4352402,0,4774,414,1284668,201526,213852,1412216,396890,7360,62,0,1740,602,1783368,30320,0,36694,0,0,1968704,5424,994,0,0,2240,1181870,0,0,0,0,38186,9852,3446,5186312,561646,121902,15588,9566940,980646,1699404,62866,274,1460,21236810,13.22,1168,1599806,988082,523598,89602,142566,99752,45068,31668,1620,0,4,8
